symbol,date,open,high,low,close,volume,gain_percent,days_up,prior_gain
ERNA,2021-04-28,22.79,54.23,21.505,43.105,422083,89.13997367266344,5,156.06741573033705
ERNA,2021-04-30,31.035,59.55,29.58,49.34,306805,58.981794747865315,1,93.84759525296688
PRPO,2021-05-03,1.9,4.94,1.9,4.92,2184545,158.94736842105263,1,-1.5544041450777257
BRN,2021-05-03,2.14,4.33,2.14,3.04,100677,42.05607476635513,1,-1.3824884792626668
LEDS,2021-05-04,3.7,7.16,3.56,5.955,185880,60.94594594594594,1,-4.884318766066842
COCP,2021-05-04,1.64,3.45,1.54,2.135,2309934,30.182926829268286,1,32.258064516129025
AMS,2021-05-05,2.68,5.0,2.63,3.53,88789,31.716417910447745,1,2.0952380952381056
LEDS,2021-05-06,5.38,13.35,5.38,10.26,2067124,90.70631970260223,3,41.57894736842105
IHT,2021-05-10,3.53,6.75,2.915,6.17,181650,74.78753541076489,1,64.95327102803736
JMIA,2021-05-11,18.08,25.45,17.93,25.155,392540,39.13163716814161,1,-33.17316577342451
IHT,2021-05-11,4.6,8.39,4.015,6.4,172702,39.13043478260872,2,106.27802690582956
PRSO,2021-05-14,2.945,4.97,2.945,4.39,126045,49.066213921901536,1,-10.213414634146345
TRAW,2021-05-18,0.7878,1.1,0.7551,1.07,316971,35.821274435135834,3,50.42963528737825
PRSO,2021-05-19,4.1,5.7,4.0,5.46,120419,33.17073170731708,1,36.8948247078464
UONE,2021-05-20,6.18,9.94,6.02,9.56,786937,54.69255663430421,2,20.23346303501945
PVLA,2021-05-25,2.26,3.78,2.17,3.71,1383421,64.15929203539825,1,18.01566579634464
ABTS,2021-05-25,13.24,19.66,13.2,17.92,99458,35.34743202416919,1,-1.9259259259259198
SOGP,2021-05-26,4.36,7.995,4.36,6.81,224264,56.192660550458704,1,-3.325942350332578
AMC,2021-05-27,18.63,29.735,18.32,26.75,6580194,43.58561460010737,4,48.920863309352505
EXPR,2021-06-02,4.95,6.64,4.93,6.5,921222,31.313131313131315,2,25.47528517110267
KOSS,2021-06-02,26.56,43.69,25.34,40.63,250418,52.97439759036146,1,28.185328185328196
EFOI,2021-06-03,4.19,8.105,4.19,5.85,148111,39.618138424820984,1,6.075949367088618
AMSC,2021-06-04,13.31,18.49,13.31,17.54,109539,31.780616078136738,1,-10.910307898259697
CLOV,2021-06-08,16.565,24.93,16.33,22.04,11318349,33.051614850588585,2,114.43365695792882
IHT,2021-06-08,8.56,14.59,8.56,11.51,156234,34.4626168224299,1,22.988505747126453
DMRA,2021-06-10,5.03,16.38,5.03,8.2,201015,63.02186878727631,1,8.639308855291583
ALF,2021-06-15,5.2,6.94,4.67,6.9,676258,32.692307692307686,3,52.941176470588246
ALF,2021-06-18,6.05,8.54,6.05,8.09,179452,33.719008264462815,1,69.46778711484593
ALF,2021-06-22,9.51,16.42,9.055,16.345,638317,71.87171398527865,1,37.82608695652172
XTKG,2021-06-29,1.51,2.84,1.51,2.84,180122,88.07947019867548,1,11.029411764705866
DDL,2021-06-30,25.99,46.0,25.5,37.285,55811,43.459022701038855,1,10.057167054838034
BLIN,2021-07-02,6.2,8.93,6.03,8.93,302908,44.032258064516114,1,170.74235807860262
XTKG,2021-07-06,1.85,3.59,1.85,3.01,259059,62.70270270270268,1,29.824561403508774
NEGG,2021-07-06,19.8,29.65,19.29,27.05,53795,36.61616161616161,5,93.17073170731709
IPW,2021-07-07,5.62,8.01,5.535,7.66,50625,36.29893238434163,1,-21.835883171070936
LMFA,2021-07-08,3.84,7.81,3.82,5.63,436574,46.61458333333333,1,-9.859154929577462
MDIA,2021-07-12,4.94,17.36,4.72,17.17,284060,247.57085020242914,2,30.00000000000003
WORX,2021-07-12,1.73,3.32,1.73,2.635,131720,52.312138728323696,1,0.5813953488372103
RNAZ,2021-07-12,4.83,6.37,4.69,6.37,53453,31.8840579710145,1,-7.648183556405364
RCAT,2021-07-13,2.99,6.05,2.99,4.75,164172,58.862876254180584,1,-14.814814814814802
RCAT,2021-07-16,4.89,7.44,4.89,7.125,77139,45.70552147239264,4,56.23003194888179
AEHR,2021-07-19,4.92,6.67,4.24,6.46,542816,31.300813008130078,2,64.54849498327758
AEMD,2021-07-19,3.75,5.02,3.75,4.925,172609,31.333333333333325,1,-5.063291139240511
LXU,2021-07-20,4.8,7.6,4.8,7.0,87218,45.83333333333335,1,-19.463087248322154
HYFT,2021-07-22,6.73,16.22,6.73,13.17,478342,95.69093610698364,1,21.261261261261268
NRXP,2021-07-22,11.67,18.22,11.06,16.45,686232,40.95972579263068,2,21.68925964546402
FEED,2021-07-23,0.7296,2.615,0.717,2.59,307265,254.98903508771926,1,-2.067114093959732
NRXP,2021-07-23,20.12,26.24,16.6,26.24,577207,30.41749502982105,3,138.95486935866984
NCTY,2021-07-26,9.58,13.85,9.19,13.36,225854,39.4572025052192,1,8.678389109472494
BTBT,2021-07-26,4.92,9.4,4.91,8.84,1336280,79.67479674796746,1,14.285714285714302
INTZ,2021-07-27,3.66,7.16,3.66,5.105,575860,39.4808743169399,1,-12.857142857142856
ZSTK,2021-07-28,5.235,10.18,5.235,8.26,481812,57.784145176695304,1,63.59375000000001
XBIO,2021-07-29,3.02,5.29,3.02,5.28,181646,74.83443708609272,3,54.871794871794876
ZSTK,2021-08-03,7.78,14.7,7.78,12.69,347989,63.11053984575834,3,55.28942115768465
FULC,2021-08-10,13.145,22.0,12.09,18.74,1532469,42.56371243818941,5,80.31550068587106
MPU,2021-08-11,19.03,31.88,19.03,25.18,51301,32.31739358906989,1,-23.66626554352186
PMCB,2021-08-13,2.36,4.43,2.33,3.195,87573,35.3813559322034,1,-22.622950819672127
ZSTK,2021-08-13,12.86,17.38,12.28,17.19,205048,33.67029548989115,1,2.3885350318471277
PMCB,2021-08-18,6.38,9.93,6.09,9.77,538369,53.134796238244505,2,128.67383512544802
TROO,2021-08-18,4.34,8.18,4.34,7.2,381800,65.89861751152075,1,-33.23076923076923
MI,2021-08-25,6.77,12.68,6.67,10.85,561188,60.26587887740029,2,29.198473282442738
ATER,2021-08-27,4.11,6.64,4.11,6.08,315327,47.93187347931873,1,31.9422150882825
BBIG,2021-08-27,3.53,5.97,3.355,5.255,1123230,48.86685552407932,4,47.390396659707726
RNXT,2021-08-30,7.27,16.71,6.99,15.99,107336,119.94497936726276,1,-3.5809018567639295
FCUV,2021-09-01,6.37,24.46,5.82,19.495,243745,206.04395604395606,1,22.736030828516363
SLAI,2021-09-02,9.7,14.0,9.47,12.63,273502,30.206185567010337,1,19.458128078817726
IPHA,2021-09-03,4.46,8.88,4.07,6.06,237542,35.8744394618834,1,19.25133689839571
ATYR,2021-09-13,6.3,9.285,5.85,9.14,1149470,45.0793650793651,1,14.54545454545455
