symbol,date,gain_pct,days_up,volume,trades,pnl,win,loss
REAL,2022-02-24,32.0534223706177,1,276385,0,0.0,0,1
OPAD,2022-02-24,30.4289544235925,1,92932,0,0.0,0,1
FUBO,2022-02-24,33.62480127186009,1,612005,0,0.0,0,1
IMPP,2022-02-25,41.43835616438356,1,987804,0,0.0,0,1
MULN,2022-02-28,65.67164179104479,1,3512387,0,0.0,0,1
INDO,2022-03-04,80.4386750223814,1,799181,0,0.0,0,1
GBR,2022-03-07,36.01036269430051,2,60731,0,0.0,0,1
SVRN,2022-03-07,56.187954996690934,4,357784,0,0.0,0,1
IMPP,2022-03-07,57.415254237288124,2,835255,1,4067.113874999997,1,0
AGIG,2022-03-07,231.30699088145897,2,950574,0,0.0,0,1
KALA,2022-03-08,68.56492027334855,1,71898,0,0.0,0,1
WPRT,2022-03-08,48.17518248175179,1,184879,0,0.0,0,1
REVB,2022-03-09,71.50395778364114,1,50260,0,0.0,0,1
AVX,2022-03-10,58.21596244131457,1,1812724,1,2044.9511124999956,1,0
AQB,2022-03-10,38.18181818181819,1,147412,0,0.0,0,1
KALA,2022-03-11,31.49606299212597,4,52048,0,0.0,0,1
RCAT,2022-03-14,47.31182795698925,1,326541,0,0.0,0,1
SONM,2022-03-15,53.24675324675323,1,68202,1,-1815.232530000004,0,1
HOUR,2022-03-15,41.0344827586207,5,54828,0,0.0,0,1
SONM,2022-03-16,32.967032967032964,2,125413,0,0.0,0,1
ZH,2022-03-16,35.15625000000002,1,339853,0,0.0,0,1
DIDI,2022-03-18,58.91472868217051,4,10269502,1,1804.4055749999986,1,0
ZH,2022-03-18,41.25560538116593,1,376050,0,0.0,0,1
AUID,2022-03-21,40.060240963855435,1,60202,0,0.0,0,1
NRSN,2022-03-21,177.47747747747744,4,1446830,1,1989.6994099999986,1,0
SOPA,2022-03-22,30.97014925373134,1,230748,1,4378.369380000001,1,0
NRSN,2022-03-22,30.434782608695656,5,241187,0,0.0,0,1
JXG,2022-03-22,59.24528301886791,2,187558,1,-737.0218616174253,0,1
RKDA,2022-03-24,30.34825870646769,4,70674,0,0.0,0,1
LGVN,2022-03-31,45.580404685835994,1,1297099,0,0.0,0,1
SABS,2022-03-31,49.60317460317461,4,66233,0,0.0,0,1
MI,2022-04-01,49.17695473251027,1,211475,0,0.0,0,1
ATER,2022-04-04,37.75100401606426,1,1082904,1,-379.9913100000003,0,1
DDL,2022-04-05,42.901878914405,2,571078,0,0.0,0,1
SBFM,2022-04-07,31.911966987620353,2,313883,0,0.0,0,1
PHIO,2022-04-08,159.1075185472262,1,546692,0,0.0,0,1
VERU,2022-04-11,105.008347245409,1,3810728,1,2181.7901775,1,0
BFRI,2022-04-13,39.71830985915494,1,339594,0,0.0,0,1
VERU,2022-04-13,35.00000000000001,1,1712493,0,0.0,0,1
INDO,2022-04-14,73.57001972386585,1,162256,0,0.0,0,1
CYN,2022-04-22,41.66666666666665,2,228621,0,0.0,0,1
NUTX,2022-04-26,68.66812227074234,1,419875,0,0.0,0,1
